padnumber,xposition,yposition
181,-5.61,0.77
182,-5.08,0.77
183,-4.54,0.77
184,-4.01,0.77
185,-3.47,0.77
186,-2.94,0.77
187,-2.40,0.77
188,-1.87,0.77
189,-1.87,0.77
190,-1.33,0.77
191,-0.79,0.77
192,-0.26,0.77
193,0.28,0.77
194,0.81,0.77
195,1.35,0.77
196,1.88,0.77
197,1.88,0.77
198,2.42,0.77
199,2.95,0.77
200,3.49,0.77
201,4.02,0.77
202,4.56,0.77
203,5.09,0.77
204,5.63,0.77
205,-5.88,0.30
206,-5.34,0.30
207,-4.81,0.30
208,-4.27,0.30
209,-3.74,0.30
210,-3.20,0.30
211,-2.67,0.30
212,-2.13,0.30
213,-1.60,0.30
214,-1.06,0.30
215,-0.53,0.30
216,0.01,0.30
217,0.54,0.30
218,1.08,0.30
219,1.61,0.30
220,2.15,0.30
221,2.15,0.30
222,2.68,0.30
223,3.22,0.30
224,3.75,0.30
225,4.29,0.30
226,4.82,0.30
227,5.36,0.30
228,5.89,0.30
229,-6.15,-0.18
230,-5.61,-0.18
231,-5.08,-0.18
232,-4.54,-0.18
233,-4.01,-0.18
234,-3.47,-0.18
235,-2.94,-0.18
236,-2.40,-0.18
237,-1.87,-0.18
238,-1.87,-0.18
239,-1.33,-0.18
240,-0.79,-0.18
241,-0.26,-0.18
242,0.28,-0.18
243,0.81,-0.18
244,1.35,-0.18
245,1.88,-0.18
246,1.88,-0.18
247,2.42,-0.18
248,2.95,-0.18
249,3.49,-0.18
250,4.02,-0.18
251,4.56,-0.18
252,5.09,-0.18
253,5.09,-0.18
254,5.63,-0.18
255,6.16,-0.18
256,-5.88,-0.65
257,-5.34,-0.65
258,-4.81,-0.65
259,-4.27,-0.65
260,-3.74,-0.65
261,-3.20,-0.65
262,-2.67,-0.65
263,-2.13,-0.65
264,-1.60,-0.65
265,-1.06,-0.65
266,-0.53,-0.65
267,0.01,-0.65
268,0.54,-0.65
269,1.08,-0.65
270,1.61,-0.65
271,2.15,-0.65
272,2.68,-0.65
273,3.22,-0.65
274,3.75,-0.65
275,4.29,-0.65
276,4.82,-0.65
277,5.36,-0.65
278,5.89,-0.65
279,-5.61,-1.13
280,-5.08,-1.13
281,-4.54,-1.13
282,-4.01,-1.13
283,-3.47,-1.13
284,-2.94,-1.13
285,-2.40,-1.13
286,-1.87,-1.13
287,-1.87,-1.13
288,-1.33,-1.13
289,-0.79,-1.13
290,-0.26,-1.13
291,0.28,-1.13
292,0.81,-1.13
293,1.35,-1.13
294,1.88,-1.13
295,1.88,-1.13
296,2.42,-1.13
297,2.95,-1.13
298,3.49,-1.13
299,4.02,-1.13
300,4.56,-1.13
301,5.09,-1.13
