PAD,ASIC,Channel,Channeltype,Channelpos
181,,,0,2
182,,,0,4
183,,,0,3
184,,,0,2
185,,,0,4
186,,,0,3
187,,,0,2
188,,,2,4
189,,,3,2
190,,,0,2
191,,,0,2
192,,,0,4
193,,,0,3
194,,,0,2
195,,,0,2
196,,,2,4
197,,,3,2
198,,,0,4
199,,,0,3
200,,,0,2
201,,,0,2
202,,,0,4
203,,,0,3
204,,,0,3
205,,,0,3
206,,,0,0
207,,,0,1
208,,,0,5
209,,,0,0
210,,,0,2
211,,,0,5
212,,,0,0
213,,,0,0
214,,,0,0
215,,,0,0
216,,,0,1
217,,,0,2
218,,,0,4
219,,,0,3
220,,,0,0
221,,,1,6
222,,,0,1
223,,,0,5
224,,,0,0
225,,,0,0
226,,,0,1
227,,,0,3
228,,,0,5
229,,,0,1
230,,,0,5
231,,,0,3
232,,,0,2
233,,,0,4
234,,,0,2
235,,,0,2
236,,,0,4
237,,,2,4
238,,,3,2
239,,,0,2
240,,,0,4
241,,,0,3
242,,,0,3
243,,,0,0
244,,,0,1
245,,,2,5
246,,,3,2
247,,,0,4
248,,,0,3
249,,,0,3
250,,,0,2
251,,,0,4
252,,,0,1
253,,,1,6
254,,,0,2
255,,,0,4
256,,,0,2
257,,,0,4
258,,,0,5
259,,,0,0
260,,,0,3
261,,,0,0
262,,,0,0
263,,,0,0
264,,,0,3
265,,,0,0
266,,,0,1
267,,,0,5
268,,,0,5
269,,,0,1
270,,,0,5
271,,,0,0
272,,,0,1
273,,,0,3
274,,,0,2
275,,,0,4
276,,,0,3
277,,,0,2
278,,,0,4
279,,,0,0
280,,,0,2
281,,,0,4
282,,,0,1
283,,,0,5
284,,,0,3
285,,,0,2
286,,,2,4
287,,,3,1
288,,,0,5
289,,,0,4
290,,,0,1
291,,,0,5
292,,,0,2
293,,,0,4
294,,,2,4
295,,,3,2
296,,,0,4
297,,,0,1
298,,,0,3
299,,,0,0
300,,,0,1
301,,,0,5
302,,,0,0
303,,,0,0
304,,,0,0
305,,,0,3
306,,,1,6
307,,,0,2
308,,,0,4
309,,,0,3
310,,,0,0
311,,,0,3
312,,,0,3
313,,,0,2
314,,,0,4
315,,,0,4
316,,,0,3
317,,,0,0
318,,,0,0
319,,,0,2
320,,,0,4
321,,,0,5
322,,,0,2
323,,,0,2
324,,,0,4
325,,,0,2
326,,,0,1
327,,,0,5
328,,,0,0
329,,,0,1
330,,,0,5
331,,,2,5
332,,,3,1
333,,,0,5
334,,,0,5
335,,,1,6
336,,,0,0
337,,,0,0
338,,,0,3
339,,,0,2
340,,,2,4
341,,,3,2
342,,,0,2
343,,,0,0
344,,,0,4
345,,,0,2
346,,,0,0
347,,,0,4
348,,,0,0
349,,,0,1
350,,,0,5
351,,,0,2
352,,,0,4
353,,,0,3
354,,,0,3
355,,,0,2
356,,,0,4
357,,,0,4
358,,,0,1
359,,,0,5
360,,,0,0
361,,,0,0
362,,,0,0
363,,,0,0
364,,,0,2
365,,,0,0
366,,,0,0
367,,,0,1
368,,,0,5
369,,,0,2
370,,,0,4
371,,,0,1
372,,,2,5
373,,,3,1
374,,,0,5
375,,,0,2
376,,,0,4
377,,,0,1
378,,,0,5
379,,,0,2
380,,,2,4
381,,,3,2
382,,,0,4
383,,,0,1
384,,,0,5
385,,,1,6
386,,,0,0
387,,,0,4
388,,,0,2
389,,,0,4
390,,,0,0
391,,,0,3
392,,,0,3
393,,,0,3
394,,,0,2
395,,,0,4
396,,,0,3
397,,,0,3
398,,,0,3
399,,,0,0
400,,,0,0
401,,,0,2
402,,,0,4
403,,,0,2
404,,,0,0
405,,,0,0
406,,,0,1
407,,,0,5
408,,,0,5
409,,,2,5
410,,,3,1
411,,,0,5
412,,,0,0
413,,,0,1
414,,,0,5
415,,,0,5
416,,,0,5
417,,,2,4
418,,,3,2
419,,,0,4
420,,,0,2
421,,,0,4
422,,,0,0
423,,,0,2
424,,,0,4
425,,,0,4
426,,,1,6
427,,,0,3
428,,,0,3
429,,,0,3
430,,,0,3
431,,,0,2
432,,,0,4
433,,,1,6
434,,,0,2
435,,,0,4
436,,,0,0
437,,,0,2
438,,,0,4
439,,,0,4
440,,,0,0
441,,,0,0
442,,,0,1
443,,,2,5
444,,,3,1
445,,,0,5
446,,,0,5
447,,,0,5
448,,,0,0
449,,,0,2
450,,,0,0
451,,,2,4
452,,,3,1
453,,,0,3
454,,,0,3
455,,,0,0
456,,,0,1
457,,,0,5
458,,,0,5
459,,,0,1
460,,,0,5
461,,,0,5
462,,,0,1
463,,,0,5
464,,,0,0
465,,,0,0
466,,,0,1
467,,,0,5
468,,,0,5
-3,,,1,6
-4,,,1,6
-5,,,1,6
-6,,,1,6
-15,,,1,6
-16,,,1,6
-17,,,1,6
