PAD,ASIC,Channel,Channeltype,Channelpos
1,,,0,3
2,,,0,2
3,,,2,4
15,,,0,1
16,,,0,5
17,,,0,0
28,,,0,3
29,,,0,3
30,,,0,2
31,,,1,6
32,,,2,4
46,,,0,1
47,,,0,5
48,,,0,5
49,,,0,0
61,,,0,2
62,,,0,4
63,,,0,2
64,,,0,4
65,,,2,4
79,,,0,2
80,,,0,4
81,,,0,2
82,,,0,4
83,,,0,0
96,,,0,3
97,,,0,0
98,,,0,4
99,,,0,4
100,,,0,2
101,,,2,4
117,,,0,1
118,,,0,5
119,,,0,0
120,,,0,0
121,,,0,0
122,,,0,0
136,,,0,3
137,,,0,2
138,,,0,4
139,,,0,6
140,,,0,3
141,,,0,3
142,,,0,2
143,,,2,4
160,,,0,1
161,,,0,5
162,,,0,0
163,,,0,1
164,,,0,1
165,,,0,5
166,,,0,0
181,,,0,2
182,,,0,4
183,,,0,3
184,,,0,2
185,,,0,4
186,,,0,2
187,,,0,2
188,,,2,4
205,,,0,2
206,,,0,4
207,,,0,1
208,,,0,0
209,,,0,0
210,,,0,1
211,,,0,5
212,,,0,0
229,,,3,2
230,,,0,0
231,,,0,3
232,,,0,3
233,,,0,2
234,,,0,4
235,,,0,2
236,,,0,2
237,,,2,4
256,,,0,0
257,,,0,1
258,,,0,1
259,,,0,5
260,,,0,0
261,,,0,1
262,,,0,5
263,,,0,0
279,,,0,1
280,,,0,5
281,,,0,3
282,,,0,3
283,,,0,3
284,,,0,3
285,,,0,2
286,,,2,4
303,,,0,2
304,,,0,1
305,,,0,1
306,,,1,6
307,,,0,1
308,,,0,1
309,,,0,5
310,,,0,0
325,,,0,0
326,,,0,3
327,,,0,3
328,,,0,2
329,,,0,4
330,,,0,2
331,,,2,4
348,,,0,1
349,,,0,1
350,,,0,5
351,,,0,0
352,,,0,4
353,,,0,0
367,,,0,2
368,,,0,4
369,,,0,3
370,,,0,0
371,,,0,2
372,,,2,4
388,,,0,0
389,,,0,3
390,,,0,5
391,,,0,2
392,,,0,4
405,,,0,1
406,,,0,5
407,,,0,2
408,,,0,4
409,,,2,4
423,,,0,2
424,,,0,4
425,,,0,0
426,,,1,6
427,,,0,0
440,,,0,0
441,,,0,3
442,,,0,5
443,,,2,4
456,,,0,1
457,,,0,5
458,,,0,0
-1,,,1,6
-4,,,1,6
-6,,,1,6
-17,,,1,6
-18,,,1,6
