,padnumber,xposition,yposition
0,,0.0,5.405
1,,0.54,5.405
2,,1.08,5.405
3,,0.27,4.935
4,,0.81,4.935
5,,1.35,4.935
6,,0.0,4.465
7,,0.54,4.465
8,,1.08,4.465
9,,1.62,4.465
10,,0.27,3.9949999999999997
11,,0.81,3.9949999999999997
12,,1.35,3.9949999999999997
13,,1.8900000000000001,3.9949999999999997
14,,0.0,3.525
15,,0.54,3.525
16,,1.08,3.525
17,,1.62,3.525
18,,2.16,3.525
19,,0.27,3.0549999999999997
20,,0.81,3.0549999999999997
21,,1.35,3.0549999999999997
22,,1.8900000000000001,3.0549999999999997
23,,2.43,3.0549999999999997
24,,0.0,2.5849999999999995
25,,0.54,2.5849999999999995
26,,1.08,2.5849999999999995
27,,1.62,2.5849999999999995
28,,2.16,2.5849999999999995
29,,2.7,2.5849999999999995
30,,0.27,2.1149999999999998
31,,0.81,2.1149999999999998
32,,1.35,2.1149999999999998
33,,1.8900000000000001,2.1149999999999998
34,,2.43,2.1149999999999998
35,,2.97,2.1149999999999998
36,,0.0,1.645
37,,0.54,1.645
38,,1.08,1.645
39,,1.62,1.645
40,,2.16,1.645
41,,2.7,1.645
42,,3.24,1.645
43,,0.27,1.1749999999999998
44,,0.81,1.1749999999999998
45,,1.35,1.1749999999999998
46,,1.8900000000000001,1.1749999999999998
47,,2.43,1.1749999999999998
48,,2.97,1.1749999999999998
49,,3.5100000000000002,1.1749999999999998
50,,0.0,0.705
51,,0.54,0.705
52,,1.08,0.705
53,,1.62,0.705
54,,2.16,0.705
55,,2.7,0.705
56,,3.24,0.705
57,,3.7800000000000002,0.705
58,,0.27,0.235
59,,0.81,0.235
60,,1.35,0.235
61,,1.8900000000000001,0.235
62,,2.43,0.235
63,,2.97,0.235
64,,3.5100000000000002,0.235
65,,4.050000000000001,0.235
66,,4.32,-0.235
67,,3.7800000000000002,-0.235
68,,3.24,-0.235
69,,2.7,-0.235
70,,2.16,-0.235
71,,1.62,-0.235
72,,1.08,-0.235
73,,0.54,-0.235
74,,0.0,-0.235
75,,4.050000000000001,-0.705
76,,3.5100000000000002,-0.705
77,,2.97,-0.705
78,,2.43,-0.705
79,,1.8900000000000001,-0.705
80,,1.35,-0.705
81,,0.81,-0.705
82,,0.27,-0.705
83,,3.7800000000000002,-1.1749999999999998
84,,3.24,-1.1749999999999998
85,,2.7,-1.1749999999999998
86,,2.16,-1.1749999999999998
87,,1.62,-1.1749999999999998
88,,1.08,-1.1749999999999998
89,,0.54,-1.1749999999999998
90,,0.0,-1.1749999999999998
91,,3.5100000000000002,-1.645
92,,2.97,-1.645
93,,2.43,-1.645
94,,1.8900000000000001,-1.645
95,,1.35,-1.645
96,,0.81,-1.645
97,,0.27,-1.645
98,,3.24,-2.1149999999999998
99,,2.7,-2.1149999999999998
100,,2.16,-2.1149999999999998
101,,1.62,-2.1149999999999998
102,,1.08,-2.1149999999999998
103,,0.54,-2.1149999999999998
104,,0.0,-2.1149999999999998
105,,2.97,-2.5849999999999995
106,,2.43,-2.5849999999999995
107,,1.8900000000000001,-2.5849999999999995
108,,1.35,-2.5849999999999995
109,,0.81,-2.5849999999999995
110,,0.27,-2.5849999999999995
111,,2.7,-3.0549999999999997
112,,2.16,-3.0549999999999997
113,,1.62,-3.0549999999999997
114,,1.08,-3.0549999999999997
115,,0.54,-3.0549999999999997
116,,0.0,-3.0549999999999997
117,,2.43,-3.525
118,,1.8900000000000001,-3.525
119,,1.35,-3.525
120,,0.81,-3.525
121,,0.27,-3.525
122,,2.16,-3.9949999999999997
123,,1.62,-3.9949999999999997
124,,1.08,-3.9949999999999997
125,,0.54,-3.9949999999999997
126,,0.0,-3.9949999999999997
127,,1.8900000000000001,-4.465
128,,1.35,-4.465
129,,0.81,-4.465
130,,0.27,-4.465
131,,1.62,-4.935
132,,1.08,-4.935
133,,0.54,-4.935
134,,0.0,-4.935
135,,1.35,-5.405
136,,0.81,-5.405
137,,0.27,-5.405
