PAD,ASIC,Channel,Channeltype,Channelpos
12,0,0,0,2
13,0,0,0,4
14,0,0,0,3
25,0,0,0,0
26,0,0,0,1
27,0,0,0,3
42,0,0,0,1
43,0,0,0,5
44,0,0,0,1
45,0,0,0,5
57,0,0,0,3
58,0,0,0,2
59,0,0,0,1
60,0,0,0,5
74,0,0,0,2
75,0,0,0,4
76,0,0,0,0
77,0,0,0,3
78,0,0,0,3
91,0,0,0,0
92,0,0,0,3
93,0,0,0,1
94,0,0,0,1
95,0,0,0,5
110,0,0,0,2
111,0,0,0,4
112,0,0,0,4
113,0,0,0,2
114,0,0,1,6
115,0,0,0,4
116,0,0,0,3
130,0,0,0,0
131,0,0,0,0
132,0,0,0,0
133,0,0,0,0
134,0,0,0,1
135,0,0,0,5
153,0,0,0,2
154,0,0,0,4
155,0,0,0,3
156,0,0,0,3
157,0,0,0,2
158,0,0,0,4
159,0,0,0,3
174,0,0,0,0
175,0,0,0,1
176,0,0,0,5
177,0,0,0,5
178,0,0,0,0
179,0,0,0,1
180,0,0,0,5
197,0,0,0,2
198,0,0,0,4
199,0,0,0,3
200,0,0,0,3
201,0,0,0,2
202,0,0,0,4
203,0,0,0,3
204,0,0,0,3
220,0,0,0,0
221,0,0,1,6
222,0,0,0,1
223,0,0,0,5
224,0,0,0,5
225,0,0,0,0
226,0,0,0,1
227,0,0,0,5
228,0,0,0,5
246,0,0,0,2
247,0,0,0,4
248,0,0,0,3
249,0,0,0,3
250,0,0,0,2
251,0,0,0,4
252,0,0,0,3
253,0,0,1,6
254,0,0,0,2
255,0,0,0,4
271,0,0,0,0
272,0,0,0,2
273,0,0,0,2
274,0,0,0,4
275,0,0,0,0
276,0,0,0,1
277,0,0,0,5
278,0,0,0,0
295,0,0,0,2
296,0,0,0,4
297,0,0,0,0
298,0,0,0,0
299,0,0,0,3
300,0,0,0,0
301,0,0,0,1
302,0,0,0,5
318,0,0,0,0
319,0,0,0,3
320,0,0,0,3
321,0,0,0,1
322,0,0,0,5
323,0,0,0,1
324,0,0,0,5
341,0,0,0,2
342,0,0,0,4
343,0,0,0,1
344,0,0,0,5
345,0,0,0,4
346,0,0,0,1
347,0,0,0,5
361,0,0,0,2
362,0,0,0,4
363,0,0,0,4
364,0,0,0,0
365,0,0,0,2
366,0,0,0,4
381,0,0,0,2
382,0,0,0,4
383,0,0,0,0
384,0,0,0,3
385,0,0,1,6
386,0,0,0,2
387,0,0,0,4
400,0,0,0,0
401,0,0,0,4
402,0,0,0,1
403,0,0,0,3
404,0,0,0,0
418,0,0,0,2
419,0,0,0,4
420,0,0,0,3
421,0,0,0,1
422,0,0,0,5
436,0,0,0,0
437,0,0,0,1
438,0,0,0,2
439,0,0,0,4
452,0,0,0,2
453,0,0,0,4
454,0,0,0,3
455,0,0,0,0
466,0,0,0,0
467,0,0,0,1
468,0,0,0,5
-2,0,0,1,6
-3,0,0,1,6
-4,0,0,1,6
-14,0,0,1,6
-15,0,0,1,6
-8,0,0,1,6
-9,0,0,1,6
-10,0,0,1,6
