PAD,ASIC,Channel,Channeltype,Channelpos
1,,,0,3
2,,,0,2
3,,,2,4
4,,,3,2
5,,,0,4
6,,,0,3
7,,,0,2
8,,,0,4
9,,,0,4
10,,,0,2
11,,,2,4
12,,,3,2
13,,,0,2
14,,,0,4
15,,,0,1
16,,,0,5
17,,,0,0
18,,,0,0
19,,,0,1
20,,,0,5
21,,,0,0
22,,,0,0
23,,,0,0
24,,,0,0
25,,,0,3
26,,,0,0
27,,,0,4
28,,,0,3
29,,,0,2
30,,,0,4
31,,,1,6
32,,,2,4
33,,,3,2
34,,,0,4
35,,,0,1
36,,,0,5
37,,,0,1
38,,,0,5
39,,,1,6
40,,,0,3
41,,,2,5
42,,,3,1
43,,,0,5
44,,,0,0
45,,,0,3
46,,,0,1
47,,,0,5
48,,,0,0
49,,,0,0
50,,,0,0
51,,,0,2
52,,,0,3
53,,,0,2
54,,,0,4
55,,,0,1
56,,,0,3
57,,,0,3
58,,,0,3
59,,,0,1
60,,,0,5
61,,,0,3
62,,,0,2
63,,,0,4
64,,,0,2
65,,,2,4
66,,,3,2
67,,,0,4
68,,,0,0
69,,,0,5
70,,,0,0
71,,,0,2
72,,,0,1
73,,,2,5
74,,,3,1
75,,,0,5
76,,,0,5
77,,,0,2
78,,,0,4
79,,,0,1
80,,,0,5
81,,,0,0
82,,,0,3
83,,,0,0
84,,,0,0
85,,,0,2
86,,,0,4
87,,,0,3
88,,,0,3
89,,,0,0
90,,,0,3
91,,,0,3
92,,,0,2
93,,,0,4
94,,,0,3
95,,,0,3
96,,,0,3
97,,,0,2
98,,,0,4
99,,,0,1
100,,,0,1
101,,,2,5
102,,,3,1
103,,,0,5
104,,,0,0
105,,,0,1
106,,,0,1
107,,,0,5
108,,,0,1
109,,,2,5
110,,,3,1
111,,,0,5
112,,,0,0
113,,,0,1
114,,,1,6
115,,,0,5
116,,,0,5
117,,,0,1
118,,,0,5
119,,,0,0
120,,,0,3
121,,,0,3
122,,,0,3
123,,,0,3
124,,,0,2
125,,,0,4
126,,,0,3
127,,,0,2
128,,,0,4
129,,,0,3
130,,,0,2
131,,,0,4
132,,,0,2
133,,,0,4
134,,,0,2
135,,,0,4
136,,,0,3
137,,,0,2
138,,,0,4
139,,,1,6
140,,,0,1
141,,,0,5
142,,,0,5
143,,,2,5
144,,,3,2
145,,,0,5
146,,,1,6
147,,,0,0
148,,,0,1
149,,,0,5
150,,,0,0
151,,,0,2
152,,,2,4
153,,,3,2
154,,,0,4
155,,,0,3
156,,,0,2
157,,,0,2
158,,,0,4
159,,,0,3
160,,,0,1
161,,,0,5
162,,,0,0
163,,,0,1
164,,,0,5
165,,,0,1
166,,,0,5
167,,,0,0
168,,,0,1
169,,,0,5
170,,,0,1
171,,,0,5
172,,,0,5
173,,,0,0
174,,,0,0
175,,,0,1
176,,,0,5
177,,,0,0
178,,,0,0
179,,,0,1
180,,,0,5
-1,,,1,6
-2,,,1,6
-13,,,1,6
-14,,,1,6
-18,,,1,6
