,padnumber,xposition,yposition,notes
0,103,-5.91,-0.43,
1,104,-5.12,-0.43,
2,105,-4.33,-0.43,
3,106,-3.54,-0.43,
4,107,-2.75,-0.43,
5,108,-1.96,-0.43,
6,109,-1.17,-0.43,
7,110,-0.38,-0.43,
8,111,0.41,-0.43,
9,112,1.2,-0.43,
10,113,1.99,-0.43,
11,114,2.78,-0.43,
12,115,3.57,-0.43,
13,116,4.36,-0.43,
14,117,5.15,-0.43,
15,118,5.94,-0.43,
16,119,-5.51,-1.12,
17,120,-4.72,-1.12,
18,121,-3.94,-1.12,
19,122,-3.15,-1.12,
20,123,-2.35,-1.12,
21,124,-1.57,-1.12,
22,125,-0.78,-1.12,
23,126,0.01,-1.12,
24,127,0.01,-1.12,
25,128,0.78,-1.12,
26,129,1.57,-1.12,
27,130,2.35,-1.12,
28,131,3.15,-1.12,
29,132,3.15,-1.12,
30,133,3.94,-1.12,
31,134,4.72,-1.12,
32,135,5.51,-1.12,
33,136,-5.12,-1.81,
34,137,-4.33,-1.81,
35,138,-3.54,-1.81,
36,139,-2.75,-1.81,
37,140,-1.96,-1.81,
38,141,-1.17,-1.81,
39,142,-0.38,-1.81,
40,143,0.41,-1.81,
41,144,1.2,-1.81,
42,145,1.99,-1.81,
43,146,2.78,-1.81,
44,147,3.57,-1.81,
45,148,4.36,-1.81,
46,149,4.36,-2,
47,150,5.15,-1.81,
48,151,-4.72,-2.5,
49,152,-3.94,-2.5,
50,153,-3.15,-2.5,
51,154,-2.35,-2.5,
52,155,-1.57,-2.5,
53,156,-0.78,-2.5,
54,157,0.01,-2.5,
55,158,0.01,-2.5,
56,159,0.78,-2.5,
57,160,0.78,-2.75,
58,161,1.57,-2.5,
59,162,2.35,-2.5,
60,163,3.15,-2.5,
61,164,3.15,-2.5,
62,165,3.94,-2.5,
63,166,4.72,-2.5,
64,167,-4.33,-3.19,
65,168,-3.54,-3.19,
66,169,-3.54,-3.19,
67,170,-2.75,-3.19,
68,171,-1.96,-3.19,
69,172,-1.17,-3.19,
70,173,-0.38,-3.19,
71,174,0.41,-3.19,
72,175,1.2,-3.19,
73,176,1.99,-3.19,
74,177,2.78,-3.19,
75,178,3.57,-3.19,
76,179,4.36,-3.19,
77,180,-3.94,-3.88,
78,181,-3.15,-3.88,
79,182,-2.35,-3.88,
80,183,-1.57,-3.88,
81,184,-0.78,-3.88,
82,185,0.01,-3.88,
83,186,0.01,-3.88,
84,187,0.78,-3.88,
85,188,1.57,-3.88,
86,189,2.35,-3.88,
87,190,3.15,-3.88,
88,191,3.15,-3.88,
89,192,3.94,-3.88,
90,193,-3.54,-4.57,
91,194,-2.75,-4.57,
92,195,-1.96,-4.57,
93,196,-1.17,-4.57,
94,197,-0.38,-4.57,
95,198,0.41,-4.57,
96,199,1.2,-4.57,
97,200,1.99,-4.57,
98,201,2.78,-4.57,
99,202,3.57,-4.57,
100,203,-3.15,-5.26,
101,204,-2.35,-5.26,
102,205,-1.57,-5.26,
103,206,-0.78,-5.26,
104,207,0.01,-5.26,
105,208,0.01,-5.26,
106,209,0.78,-5.26,
107,210,1.57,-5.26,
108,211,2.35,-5.26,
109,212,3.15,-5.26,
103,-4,2.75,-5.82,shield bond
104,-5,-2.75,-5.82,shield bond
105,-15,-5.3,-2,"guard ring ""Q"" at 136"
106,-16,1.59,-5.51,guard ring at 210
107,-17,4.1,-4.03,"guard ring ""O"" at 192"
108,-18,0.41,-0.23,guard ring at 111
