PAD,ASIC,Channel,Channeltype,Channelpos
103,,,0,2
104,,,0,4
105,,,0,3
106,,,0,3
107,,,0,2
108,,,0,2
109,,,0,4
110,,,0,4
111,,,1,6
112,,,0,2
113,,,0,4
114,,,0,3
115,,,0,3
116,,,0,2
117,,,0,2
118,,,0,4
119,,,0,0
120,,,0,1
121,,,0,5
122,,,0,5
123,,,0,0
124,,,0,0
125,,,0,1
126,,,2,5
127,,,3,2
128,,,0,2
129,,,0,4
130,,,0,1
131,,,2,5
132,,,3,1
133,,,0,3
134,,,0,0
135,,,0,0
136,,,0,2
137,,,0,4
138,,,0,2
139,,,0,4
140,,,0,2
141,,,0,4
142,,,0,3
143,,,0,3
144,,,0,0
145,,,0,4
146,,,0,3
147,,,0,3
148,,,0,5
149,,,1,6
150,,,0,4
151,,,0,0
152,,,0,3
153,,,0,0
154,,,0,3
155,,,0,0
156,,,0,1
157,,,2,5
158,,,3,1
159,,,0,5
160,,,1,6
161,,,0,0
162,,,0,3
163,,,2,4
164,,,3,2
165,,,0,4
166,,,0,0
167,,,0,1
168,,,0,5
169,,,1,6
170,,,0,3
171,,,0,3
172,,,0,3
173,,,0,2
174,,,0,3
175,,,0,3
176,,,0,1
177,,,0,5
178,,,0,2
179,,,0,4
180,,,0,2
181,,,0,4
182,,,0,1
183,,,0,5
184,,,0,5
185,,,2,0
186,,,3,1
187,,,0,5
188,,,0,5
189,,,0,1
190,,,2,5
191,,,3,2
192,,,0,0
193,,,0,0
194,,,0,3
195,,,0,2
196,,,0,4
197,,,0,4
198,,,0,3
199,,,0,4
200,,,0,3
201,,,0,3
202,,,0,0
203,,,0,1
204,,,0,5
205,,,0,0
206,,,0,1
207,,,2,5
208,,,3,1
209,,,0,5
210,,,0,1
211,,,0,5
212,,,0,5
-4,,,1,6
-5,,,1,6
-15,,,1,6
-16,,,1,6
-17,,,1,6
-18,,,1,6
-9,,,1,6
-10,,,1,6
-11,,,1,6
-12,,,1,6
