PAD,ASIC,Channel,Channeltype,Channelpos
-18,0,0,6,
-17,0,0,6,
-16,0,0,6,
-15,0,0,6,
-14,0,0,6,
-13,0,0,6,
-12,0,0,6,
-11,0,0,6,
-10,0,0,6,
-9,0,0,6,
-8,0,0,6,
-7,0,0,6,
-6,0,0,6,
-5,0,0,6,
-4,0,0,6,
-3,0,0,6,
-2,0,0,6,
-1,0,0,6,
1,0,33,0,3
2,0,34,0,2
3,0,21,0,4
4,0,22,0,4
5,0,14,0,2
6,0,15,0,4
7,0,5,0,3
8,0,6,0,3
9,0,35,0,1
10,0,32,0,5
11,0,19,0,0
12,0,20,0,0
13,0,16,0,3
14,0,0,1,6
15,0,13,0,0
16,0,4,0,1
17,0,7,0,5
18,1,61,0,5
19,0,28,0,2
20,0,30,0,4
21,0,23,0,2
22,0,25,0,4
23,0,12,0,3
24,0,10,0,5
25,0,3,0,1
26,0,1,0,5
27,1,62,0,2
28,1,59,0,4
29,0,29,0,2
30,0,31,0,0
31,0,24,0,5
32,0,26,0,0
33,0,11,0,1
34,0,9,0,5
35,0,2,0,2
36,0,0,0,4
37,1,55,0,3
38,1,60,0,0
39,1,67,0,3
40,0,64,0,3
41,0,65,0,0
42,0,59,0,2
43,0,60,0,4
44,0,38,0,2
45,0,36,0,4
46,0,40,0,3
47,0,41,0,0
48,1,58,0,1
49,1,57,0,5
50,1,66,0,1
51,1,64,0,5
52,0,67,0,1
53,0,66,0,5
54,0,62,0,4
55,0,61,0,0
56,0,39,0,3
57,0,37,0,0
58,0,42,0,1
59,0,43,0,5
60,1,50,0,2
61,1,56,0,4
62,1,1,1,6
63,1,68,0,0
64,1,65,0,2
65,1,29,0,4
66,0,71,0,3
67,0,69,0,1
68,0,57,0,3
69,0,55,0,3
70,0,1,1,6
71,0,52,0,1
72,0,51,0,5
73,0,47,0,4
74,0,45,0,1
75,1,49,0,5
76,1,52,0,3
77,1,70,0,2
78,1,71,0,4
79,1,28,0,0
80,1,30,0,5
81,0,70,0,1
82,0,68,0,5
83,0,56,0,1
84,0,58,0,5
85,0,50,0,2
86,0,49,0,4
87,0,48,0,0
88,0,46,0,3
89,1,48,0,2
90,1,51,0,1
91,1,41,0,5
92,1,69,0,0
93,1,24,0,0
94,1,31,0,2
95,1,33,0,3
96,2,11,0,1
97,2,10,0,3
98,2,5,0,3
99,2,7,0,2
100,2,1,0,3
101,2,0,0,2
102,2,40,0,4
103,2,43,0,1
104,1,45,0,5
105,1,46,0,0
106,1,42,0,2
107,1,43,0,4
108,1,26,0,2
109,1,23,0,4
110,1,35,0,1
111,1,32,0,5
112,2,12,0,1
113,2,9,0,5
114,2,6,0,5
115,2,4,0,1
116,2,3,0,5
117,2,2,0,0
118,2,42,0,1
119,2,41,0,5
120,1,47,0,3
121,1,37,0,3
122,1,40,0,0
123,1,10,0,3
124,1,25,0,0
125,1,19,0,2
126,1,34,0,4
127,2,20,0,2
128,2,22,0,4
129,2,15,0,3
130,2,13,0,3
131,2,36,0,2
132,2,38,0,4
133,2,45,0,3
134,2,47,0,1
135,1,38,0,1
136,1,39,0,5
137,1,11,0,1
138,1,12,0,5
139,1,20,0,2
140,1,21,0,4
141,2,21,0,0
142,2,19,0,1
143,2,0,1,6
144,2,16,0,1
145,2,14,0,5
146,2,39,0,0
147,2,37,0,1
148,2,48,0,5
149,2,46,0,3
150,1,36,0,2
151,1,1,0,4
152,1,9,0,2
153,1,0,0,4
154,1,15,1,6
155,1,22,0,0
156,2,26,0,1
157,2,25,0,5
158,2,34,0,2
159,2,32,0,4
160,2,60,0,2
161,2,61,0,4
162,2,51,0,1
163,2,1,1,6
164,2,49,0,3
165,1,3,0,0
166,1,2,0,3
167,1,14,0,3
168,1,16,0,5
169,2,23,0,2
170,2,24,0,4
171,2,35,0,0
172,2,33,0,3
173,2,59,0,0
174,2,62,0,2
175,2,50,0,1
176,2,52,0,5
177,1,0,0,1
178,1,4,0,5
179,1,13,0,5
180,2,30,0,0
181,2,28,0,3
182,2,64,0,2
183,2,67,0,4
184,2,69,0,4
185,2,70,0,3
186,2,55,0,2
187,2,56,0,4
188,1,7,0,3
189,1,5,0,5
190,2,31,0,1
191,2,29,0,5
192,2,65,0,0
193,2,66,0,0
194,2,71,0,1
195,2,68,0,5
196,2,58,0,0
197,2,57,0,1
198,1,6,0,5
