padnumber,xposition,yposition
5,+0.41,+5.09
6,+1.20,+5.09
7,+1.99,+5.09
8,+2.78,+5.09
15,+0.02,+4.40
16,+0.80,+4.40
17,+1.59,+4.40
18,+2.38,+4.40
19,+3.17,+4.40
25,+0.41,+3.71
26,+1.20,+3.71
27,+1.99,+3.71
28,+2.78,+3.71
29,+3.57,+3.71
36,+0.01,+3.02
37,+0.80,+3.02
38,+1.59,+3.02
39,+2.38,+3.02
40,+3.17,+3.02
41,+3.17,+3.02
42,+3.96,+3.02
49,+0.41,+2.33
50,+1.20,+2.33
51,+1.99,+2.33
52,+2.78,+2.33
53,+3.57,+2.33
54,+4.36,+2.33
62,+0.01,+1.64
63,+0.80,+1.64
64,+1.59,+1.64
65,+1.59,+1.64
66,+2.38,+1.64
67,+3.17,+1.64
68,+3.17,+1.64
69,+3.96,+1.64
70,+4.75,+1.64
78,+0.41,+0.95
79,+1.20,+0.95
80,+1.99,+0.95
81,+2.78,+0.95
82,+3.57,+0.95
83,+4.36,+0.95
84,+5.15,+0.95
94,+0.01,+0.26
95,+0.80,+0.26
96,+1.59,+0.26
97,+2.38,+0.26
98,+3.17,+0.26
99,+3.17,+0.26
100,+3.96,+0.26
101,+4.75,+0.26
102,+5.54,+0.26
111,+0.41,-0.43
112,+1.20,-0.43
113,+1.99,-0.43
114,+2.78,-0.43
115,+3.57,-0.43
116,+4.36,-0.43
117,+5.15,-0.43
118,+5.94,-0.43
127,+0.01,-1.12
128,+0.80,-1.12
129,+1.59,-1.12
130,+2.38,-1.12
131,+3.17,-1.12
132,+3.17,-1.12
133,+3.96,-1.12
134,+4.75,-1.12
135,+5.54,-1.12
143,+0.41,-1.81
144,+1.20,-1.81
145,+1.99,-1.81
146,+2.78,-1.81
147,+3.57,-1.81
148,+4.36,-1.81
149,+4.36,-1.81
150,+5.15,-1.81
158,+0.01,-2.50
159,+0.80,-2.50
160,+0.80,-2.50
161,+1.59,-2.50
162,+2.38,-2.50
163,+3.17,-2.50
164,+3.17,-2.50
165,+3.96,-2.50
166,+4.75,-2.50
174,+0.41,-3.19
175,+1.20,-3.19
176,+1.99,-3.19
177,+2.78,-3.19
178,+3.57,-3.19
179,+4.36,-3.19
186,+0.01,-3.88
187,+0.80,-3.88
188,+1.59,-3.88
189,+2.38,-3.88
190,+3.17,-3.88
191,+3.17,-3.88
192,+3.96,-3.88
198,+0.41,-4.57
199,+1.20,-4.57
200,+1.99,-4.57
201,+2.78,-4.57
202,+3.57,-4.57
208,+0.02,-5.26
209,+0.80,-5.26
210,+1.59,-5.26
211,+2.38,-5.26
212,+3.17,-5.26
-2,3.38,5.05
-3,6.18,0.15
-4,3.4,-5.82
