PAD,ASIC,Channel,Channeltype,Channelpos
5,1,4,0,2
6,1,6,0,4
7,1,34,0,2
8,1,32,0,4
15,1,2,0,2
16,1,7,0,0
17,1,5,0,3
18,1,35,0,2
19,1,33,0,4
25,1,0,0,0
26,1,10,0,1
27,1,11,0,5
28,1,28,0,3
29,1,30,0,3
36,1,3,0,2
37,1,1,0,4
38,1,9,0,5
39,1,12,0,1
40,1,29,2,5
41,0,0,3,1
42,1,31,0,5
49,1,14,0,0
50,1,13,0,3
51,1,19,0,3
52,1,21,0,3
53,1,26,0,2
54,1,25,0,4
62,0,41,0,2
63,1,16,0,4
64,1,15,0,5
65,1,0,1,6
66,1,20,0,2
67,1,22,2,4
68,1,24,3,2
69,0,0,0,0
70,1,23,0,4
78,0,43,0,3
79,0,50,0,2
80,0,51,0,4
81,0,56,0,3
82,0,58,0,3
83,0,64,0,0
84,0,65,0,3
94,0,40,0,1
95,0,42,0,5
96,0,49,0,0
97,0,52,0,1
98,0,55,2,5
99,0,0,3,1
100,0,57,0,5
101,0,66,0,1
102,0,67,0,5
111,0,39,0,3
112,0,37,0,2
113,0,47,0,2
114,0,46,0,4
115,0,62,0,3
116,0,61,0,4
117,0,68,0,2
118,0,71,0,4
127,1,18,0,1
128,0,38,0,5
129,0,45,0,2
130,0,48,0,0
131,0,59,2,4
132,0,0,3,1
133,0,60,0,5
134,0,69,0,2
135,0,70,0,0
143,0,36,0,3
144,0,2,0,5
145,0,0,0,0
146,0,35,0,3
147,0,33,0,3
148,0,29,0,2
149,0,0,1,6
150,0,30,0,0
158,1,27,0,1
159,0,1,0,2
160,0,1,1,6
161,0,3,0,4
162,0,34,0,1
163,0,32,2,5
164,0,0,3,1
165,0,28,0,3
166,0,31,0,0
174,0,7,0,2
175,0,6,0,4
176,0,19,0,3
177,0,22,0,3
178,0,25,0,1
179,0,26,0,5
186,0,18,0,1
187,0,5,0,5
188,0,20,0,1
189,0,21,0,5
190,0,23,2,5
191,0,0,3,2
192,0,24,0,4
198,0,4,0,3
199,0,9,0,2
200,0,12,0,4
201,0,13,0,3
202,0,16,0,0
208,0,27,0,1
209,0,10,0,5
210,0,11,0,0
211,0,15,0,1
212,0,14,0,5
-2,0,0,1,6
-3,0,0,1,6
-4,0,0,1,6
-8,0,0,1,6
-9,0,0,1,6
-10,0,0,1,6
-13,0,0,1,6
-14,0,0,1,6
-15,0,0,1,6
-16,0,0,1,6
