,padnumber,xposition,yposition,type,optional
0,1,-2.75,5.09,11,"SIZE:0.82,ROTATE:-120,X_CROP:0.5,INVERT:1"
1,2,-1.96,5.09,11,"SIZE:0.82,ROTATE:0"
2,3,-1.17,5.09,44,"SIZE:0.82,ROTATE:0,TEXT_Y_OFFSET:-0.13,TEXT_X_OFFSET:+0.05"
3,4,-0.38,5.09,11,"SIZE:0.82,ROTATE:0"
4,5,0.41,5.09,11,"SIZE:0.82,ROTATE:0"
5,6,1.2,5.09,44,"SIZE:0.82,ROTATE:0,TEXT_Y_OFFSET:-0.13,TEXT_X_OFFSET:+0.05"
6,7,1.99,5.09,11,"SIZE:0.82,ROTATE:0"
7,8,2.78,5.09,11,"SIZE:0.82,ROTATE:-120,X_CROP:0.5,ROTATE:120"
8,9,-3.14,4.4,42,"SIZE:0.82,ROTATE:60"
9,10,-2.35,4.4,0,"SIZE:0.82,ROTATE:0"
10,11,-1.56,4.4,0,"SIZE:0.82,ROTATE:0"
11,12,-0.77,4.4,0,"SIZE:0.82,ROTATE:0"
12,13,-0.77,4.4,0,"SIZE:0.82,ROTATE:0"
13,14,0.02,4.4,14,"SIZE:0.35,ROTATE:0"
14,15,0.02,4.4,,
15,16,0.8,4.4,0,"SIZE:0.82,ROTATE:0"
16,17,1.59,4.4,0,"SIZE:0.82,ROTATE:0"
17,18,2.38,4.4,0,"SIZE:0.82,ROTATE:0"
18,19,3.17,4.4,42,"SIZE:0.82,ROTATE:60,INVERT:1"
19,20,-3.54,3.71,43,"SIZE:0.82,ROTATE:60,TEXT_Y_OFFSET:-0.05,TEXT_X_OFFSET:+0.2"
20,21,-2.75,3.71,0,"SIZE:0.82,ROTATE:0"
21,22,-1.96,3.71,0,"SIZE:0.82,ROTATE:0"
22,23,-1.17,3.71,0,"SIZE:0.82,ROTATE:0"
23,24,-0.38,3.71,0,"SIZE:0.82,ROTATE:0"
24,25,0.41,3.71,0,"SIZE:0.82,ROTATE:0"
25,26,1.2,3.71,0,"SIZE:0.82,ROTATE:0"
26,27,1.99,3.71,0,"SIZE:0.82,ROTATE:0"
27,28,2.78,3.71,0,"SIZE:0.82,ROTATE:0"
28,29,3.57,3.71,43,"SIZE:0.82,ROTATE:300,TEXT_Y_OFFSET:-0.05,TEXT_X_OFFSET:-0.1"
29,30,-3.93,3.02,41,"SIZE:0.82,ROTATE:60"
30,31,-3.14,3.02,0,"SIZE:0.82,ROTATE:0"
31,32,-2.35,3.02,0,"SIZE:0.82,ROTATE:0"
32,33,-1.56,3.02,0,"SIZE:0.82,ROTATE:0"
33,34,-0.77,3.02,0,"SIZE:0.82,ROTATE:0"
34,35,0.01,3.02,0,"SIZE:0.82,ROTATE:0"
35,36,0.01,3.02,0,"SIZE:0.82,ROTATE:0"
36,37,0.8,3.02,,
37,38,1.59,3.02,0,"SIZE:0.82,ROTATE:0"
38,39,2.38,3.02,0,"SIZE:0.82,ROTATE:0"
39,40,3.17,3.02,0,"SIZE:0.82,ROTATE:0"
40,41,3.17,3.02,41,"SIZE:0.82,ROTATE:300"
41,42,3.96,3.02,,
42,43,-4.33,2.33,41,"SIZE:0.82,ROTATE:60"
43,44,-3.54,2.33,0,"SIZE:0.82,ROTATE:0"
44,45,-2.75,2.33,0,"SIZE:0.82,ROTATE:0"
45,46,-1.96,2.33,0,"SIZE:0.82,ROTATE:0"
46,47,-1.17,2.33,0,"SIZE:0.82,ROTATE:0"
47,48,-0.38,2.33,0,"SIZE:0.82,ROTATE:0"
48,49,0.41,2.33,0,"SIZE:0.82,ROTATE:0"
49,50,1.2,2.33,0,"SIZE:0.82,ROTATE:0"
50,51,1.99,2.33,0,"SIZE:0.82,ROTATE:0"
51,52,2.78,2.33,0,"SIZE:0.82,ROTATE:0"
52,53,3.57,2.33,0,"SIZE:0.82,ROTATE:0"
53,54,4.36,2.33,41,"SIZE:0.82,ROTATE:300"
54,55,-4.72,1.64,41,"SIZE:0.82,ROTATE:60"
55,56,-3.93,1.64,0,"SIZE:0.82,ROTATE:0"
56,57,-3.15,1.64,0,"SIZE:0.82,ROTATE:0"
57,58,-2.35,1.64,0,"SIZE:0.82,ROTATE:0"
58,59,-1.56,1.64,0,"SIZE:0.82,ROTATE:0"
59,60,-0.78,1.64,0,"SIZE:0.82,ROTATE:0"
60,61,0.01,1.64,0,"SIZE:0.82,ROTATE:0"
61,62,0.01,1.64,,
62,63,0.8,1.64,0,"SIZE:0.82,ROTATE:0"
63,64,1.59,1.64,0,"SIZE:0.82,ROTATE:0"
64,65,1.59,1.64,4,"SIZE:0.82,ROTATE:0"
65,66,2.38,1.64,14,"SIZE:0.35,ROTATE:0"
66,67,3.17,1.64,0,"SIZE:0.82,ROTATE:0"
67,68,3.17,1.64,,
68,69,3.96,1.64,0,"SIZE:0.82,ROTATE:0"
69,70,4.75,1.64,41,"SIZE:0.82,ROTATE:300"
70,71,-5.12,0.95,43,"SIZE:0.82,ROTATE:60,TEXT_Y_OFFSET:-0.05,TEXT_X_OFFSET:+0.2"
