PAD,ASIC,Channel,Channeltype,Channelpos
-18,0,0,1,6
-14,0,0,1,6
-13,0,0,1,6
-8,0,0,1,6
-7,0,0,1,6
-6,0,0,1,6
-3,0,0,1,6
-2,0,0,1,6
-1,0,0,1,6
1,0,0,0,3
2,0,0,0,2
3,0,0,0,4
4,0,0,0,4
5,0,0,0,3
6,0,0,0,4
7,0,0,0,2
8,0,0,0,4
9,0,0,0,3
10,0,0,0,5
11,0,0,0,0
12,0,0,0,0
13,0,0,1,6
14,0,0,2,4
15,0,0,3,1
16,0,0,0,2
17,0,0,0,4
18,1,0,0,0
19,0,0,0,4
20,0,0,0,1
21,0,0,0,5
22,0,0,0,2
23,0,0,0,4
24,0,0,0,3
25,0,0,0,3
26,0,0,0,1
27,1,0,0,5
28,1,0,0,3
29,0,0,0,3
30,0,0,0,3
31,0,0,0,4
32,0,0,0,0
33,0,0,0,0
34,0,0,0,1
35,0,0,2,5
36,0,0,3,1
37,1,0,0,3
38,1,0,0,0
39,1,0,0,2
40,0,0,2,5
41,0,0,3,1
42,0,0,0,3
43,0,0,0,3
44,0,0,0,5
45,0,0,0,4
46,0,0,0,3
47,0,0,0,3
48,1,0,0,5
49,1,0,0,3
50,1,0,0,5
51,1,0,0,3
52,0,0,0,0
53,0,0,0,1
54,0,0,0,5
55,0,0,0,1
56,0,0,0,5
57,0,0,0,0
58,0,0,0,1
59,0,0,0,1
60,1,0,0,5
61,1,0,2,4
62,1,0,3,1
63,1,0,0,5
64,1,0,0,1
65,1,0,1,6
66,0,0,0,5
67,0,0,2,4
68,0,0,3,2
69,0,0,0,2
70,0,0,0,4
71,0,0,0,3
72,0,0,0,3
73,0,0,0,2
74,0,0,0,4
75,1,0,0,3
76,1,0,0,2
77,1,0,0,4
78,1,0,0,1
79,1,0,0,3
80,1,0,0,3
81,0,0,0,0
82,0,0,0,0
83,0,0,0,0
84,0,0,0,3
85,0,0,0,1
86,0,0,0,5
87,0,0,0,5
88,0,0,0,0
89,1,0,0,1
90,1,0,1,6
91,1,0,0,5
92,1,0,0,0
93,1,0,2,4
94,1,0,3,3
95,1,0,0,1
96,2,0,0,1
97,2,0,0,5
98,2,0,2,5
99,2,0,3,1
100,2,0,0,5
101,2,0,0,1
102,2,0,0,5
