padnumber,xposition,yposition
1,-2.94,+5.52
2,-2.4,+5.52
3,-1.87,+5.52
4,-1.33,+5.52
5,-0.8,+5.52
6,-0.26,+5.52
7,0.27,+5.52
8,0.81,+5.52
9,1.35,+5.52
10,1.88,+5.52
11,2.42,+5.52
12,2.95,+5.52
13,-3.2,+5.05
14,-2.67,+5.05
15,-2.13,+5.05
16,-1.6,+5.05
17,-1.06,+5.05
18,-0.53,+5.05
19,0.01,+5.05
20,0.54,+5.05
21,1.08,+5.05
22,1.61,+5.05
23,2.15,+5.05
24,2.68,+5.05
25,3.22,+5.05
26,-3.47,+4.57
27,-2.94,+4.57
28,-2.4,+4.57
29,-1.87,+4.57
30,-1.87,+4.57
31,-1.33,+4.57
32,-0.8,+4.57
33,-0.26,+4.57
34,0.28,+4.57
35,0.81,+4.57
36,1.35,+4.57
37,1.35,+4.57
38,1.88,+4.57
39,2.42,+4.57
40,2.95,+4.57
41,3.49,+4.57
42,-3.74,+4.10
43,-3.2,+4.10
44,-2.67,+4.10
45,-2.13,+4.10
46,-1.6,+4.10
47,-1.06,+4.10
48,-0.53,+4.10
49,0.01,+4.10
50,0.54,+4.10
51,1.08,+4.10
52,1.61,+4.10
53,2.15,+4.10
54,2.68,+4.10
55,3.22,+4.10
56,3.75,+4.10
57,-4.01,+3.62
58,-3.47,+3.62
59,-2.94,+3.62
60,-2.4,+3.62
61,-1.87,+3.62
62,-1.33,+3.62
63,-0.8,+3.62
64,-0.26,+3.62
65,0.28,+3.62
66,0.81,+3.62
67,1.35,+3.62
68,1.88,+3.62
69,2.42,+3.62
70,2.95,+3.62
71,3.49,+3.62
72,4.02,+3.62
73,-4.27,+3.15
74,-3.74,+3.15
75,-3.2,+3.15
76,-2.67,+3.15
77,-2.13,+3.15
78,-1.6,+3.15
79,-1.06,+3.15
80,-0.53,+3.15
81,0.01,+3.15
82,0.54,+3.15
83,1.08,+3.15
84,1.61,+3.15
85,2.15,+3.15
86,2.68,+3.15
87,3.22,+3.15
88,3.22,+3.15
89,3.75,+3.15
90,4.29,+3.15
91,-4.54,+2.67
92,-4.01,+2.67
93,-3.47,+2.67
94,-2.94,+2.67
95,-2.4,+2.67
96,-1.87,+2.67
97,-1.33,+2.67
98,-0.79,+2.67
99,-0.26,+2.67
100,0.28,+2.67
101,0.81,+2.67
102,1.35,+2.67
103,1.88,+2.67
104,2.42,+2.67
105,2.95,+2.67
106,3.49,+2.67
107,4.02,+2.67
108,4.56,+2.67
109,-4.81,+2.20
110,-4.27,+2.20
111,-3.74,+2.20
112,-3.2,+2.20
113,-2.67,+2.20
114,-2.13,+2.20
115,-1.6,+2.20
116,-1.06,+2.20
117,-0.53,+2.20
118,0.01,+2.20
119,0.54,+2.20
120,1.08,+2.20
121,1.61,+2.20
122,2.15,+2.20
123,2.68,+2.20
124,3.22,+2.20
125,3.75,+2.20
126,4.29,+2.20
127,4.82,+2.20
128,-5.08,+1.72
129,-4.54,+1.72
130,-4.01,+1.72
131,-3.47,+1.72
132,-2.94,+1.72
133,-2.4,+1.72
134,-1.87,+1.72
135,-1.33,+1.72
136,-0.79,+1.72
137,-0.26,+1.72
138,0.28,+1.72
139,0.81,+1.72
140,1.35,+1.72
141,1.88,+1.72
142,2.42,+1.72
143,2.95,+1.72
144,3.49,+1.72
145,4.02,+1.72
146,4.56,+1.72
147,5.09,+1.72
148,-5.34,+1.25
149,-4.81,+1.25
150,-4.27,+1.25
151,-4.27,+1.25
152,-3.74,+1.25
153,-3.2,+1.25
154,-2.67,+1.25
155,-2.13,+1.25
156,-1.6,+1.25
157,-1.06,+1.25
158,-1.06,+1.25
159,-0.53,+1.25
160,0.01,+1.25
161,0.54,+1.25
162,1.08,+1.25
163,1.61,+1.25
164,2.15,+1.25
165,2.68,+1.25
166,3.22,+1.25
167,3.75,+1.25
168,4.29,+1.25
169,4.82,+1.25
170,5.36,+1.25
171,-5.61,+0.77
172,-5.08,+0.77
173,-4.54,+0.77
174,-4.01,+0.77
175,-3.47,+0.77
176,-2.94,+0.77
177,-2.4,+0.77
178,-1.87,+0.77
179,-1.33,+0.77
180,-0.79,+0.77
181,-0.26,+0.77
182,0.28,+0.77
183,0.81,+0.77
184,1.35,+0.77
185,1.88,+0.77
186,2.42,+0.77
187,2.95,+0.77
188,3.49,+0.77
189,4.02,+0.77
190,4.56,+0.77
191,5.09,+0.77
192,5.63,+0.77
193,-5.88,+0.30
194,-5.34,+0.30
195,-4.81,+0.30
196,-4.27,+0.30
197,-3.74,+0.30
198,-3.2,+0.30
199,-2.67,+0.30
200,-2.13,+0.30
201,-1.6,+0.30
202,-1.06,+0.30
203,-0.53,+0.30
204,0.01,+0.30
205,0.54,+0.30
206,1.08,+0.30
207,1.61,+0.30
208,1.61,+0.30
209,2.15,+0.30
210,2.68,+0.30
211,3.22,+0.30
212,3.75,+0.30
213,4.29,+0.30
214,4.82,+0.30
215,5.36,+0.30
216,5.89,+0.30
217,-6.15,-0.18
218,-5.61,-0.18
219,-5.08,-0.18
220,-4.54,-0.18
221,-4.01,-0.18
222,-3.47,-0.18
223,-2.94,-0.18
224,-2.4,-0.18
225,-1.87,-0.18
226,-1.33,-0.18
227,-0.79,-0.18
228,-0.26,-0.18
229,0.28,-0.18
230,0.81,-0.18
231,1.35,-0.18
232,1.88,-0.18
233,2.42,-0.18
234,2.95,-0.18
235,3.49,-0.18
236,4.02,-0.18
237,4.56,-0.18
238,5.09,-0.18
239,5.63,-0.18
240,6.16,-0.18
241,-5.88,-0.65
242,-5.34,-0.65
243,-4.81,-0.65
244,-4.27,-0.65
245,-3.74,-0.65
246,-3.2,-0.65
247,-2.67,-0.65
248,-2.13,-0.65
249,-1.6,-0.65
250,-1.06,-0.65
251,-0.53,-0.65
252,0.01,-0.65
253,0.54,-0.65
254,1.08,-0.65
255,1.61,-0.65
256,2.15,-0.65
257,2.68,-0.65
258,3.22,-0.65
259,3.75,-0.65
260,4.29,-0.65
261,4.82,-0.65
262,4.82,-0.65
263,5.36,-0.65
264,5.89,-0.65
265,-5.61,-1.13
266,-5.08,-1.13
267,-4.54,-1.13
268,-4.54,-1.13
269,-4.01,-1.13
270,-3.47,-1.13
271,-2.94,-1.13
272,-2.4,-1.13
273,-1.87,-1.13
274,-1.33,-1.13
275,-0.79,-1.13
276,-0.26,-1.13
277,0.28,-1.13
278,0.81,-1.13
279,1.35,-1.13
280,1.88,-1.13
281,2.42,-1.13
282,2.95,-1.13
283,3.49,-1.13
284,4.02,-1.13
285,4.56,-1.13
286,5.09,-1.13
287,5.63,-1.13
288,-5.34,-1.60
289,-4.81,-1.60
290,-4.27,-1.60
291,-3.74,-1.60
292,-3.2,-1.60
293,-2.67,-1.60
294,-2.13,-1.60
295,-1.6,-1.60
296,-1.06,-1.60
297,-0.53,-1.60
298,-0.53,-1.60
299,0.01,-1.60
300,0.54,-1.60
301,1.08,-1.60
302,1.61,-1.60
303,2.15,-1.60
304,2.68,-1.60
305,3.22,-1.60
306,3.75,-1.60
307,4.29,-1.60
308,4.82,-1.60
309,5.36,-1.60
310,-5.08,-2.08
311,-4.54,-2.08
312,-4.01,-2.08
313,-3.47,-2.08
314,-2.94,-2.08
315,-2.4,-2.08
316,-1.87,-2.08
317,-1.33,-2.08
318,-0.79,-2.08
319,-0.26,-2.08
320,0.28,-2.08
321,0.81,-2.08
322,1.35,-2.08
323,1.88,-2.08
324,2.42,-2.08
325,2.95,-2.08
326,3.49,-2.08
327,4.02,-2.08
328,4.56,-2.08
329,5.09,-2.08
330,-4.81,-2.55
331,-4.27,-2.55
332,-3.74,-2.55
333,-3.2,-2.55
334,-2.67,-2.55
335,-2.13,-2.55
336,-1.6,-2.55
337,-1.06,-2.55
338,-0.53,-2.55
339,0.01,-2.55
340,0.54,-2.55
341,1.08,-2.55
342,1.61,-2.55
343,2.15,-2.55
344,2.68,-2.55
345,3.22,-2.55
346,3.75,-2.55
347,4.29,-2.55
348,4.82,-2.55
349,-4.54,-3.03
350,-4.01,-3.03
351,-3.47,-3.03
352,-2.94,-3.03
353,-2.4,-3.03
354,-1.87,-3.03
355,-1.33,-3.03
356,-0.79,-3.03
357,-0.26,-3.03
358,0.28,-3.03
359,0.81,-3.03
360,1.35,-3.03
361,1.88,-3.03
362,2.42,-3.03
363,2.95,-3.03
364,3.49,-3.03
365,4.02,-3.03
366,4.56,-3.03
367,-4.27,-3.50
368,-3.74,-3.50
369,-3.2,-3.50
370,-2.67,-3.50
371,-2.13,-3.50
