PAD,ASIC,Channel,Channeltype,Channelpos
1,,,0,3
2,,,0,2
3,,,0,4
4,,,0,2
5,,,0,3
6,,,0,3
7,,,0,3
8,,,0,2
9,,,0,4
10,,,0,3
11,,,0,2
12,,,0,4
13,,,0,1
14,,,0,5
15,,,0,0
16,,,0,3
17,,,0,1
18,,,0,1
19,,,0,1
20,,,0,5
21,,,0,0
22,,,0,1
23,,,0,3
24,,,0,0
25,,,0,3
26,,,0,3
27,,,0,1
28,,,0,5
29,,,0,1
30,,,1,6
31,,,0,2
32,,,0,4
33,,,0,2
34,,,0,3
35,,,0,5
36,,,0,5
37,,,1,6
38,,,0,1
39,,,0,5
40,,,0,1
41,,,0,5
42,,,0,1
43,,,0,1
44,,,0,5
45,,,0,2
46,,,0,4
47,,,0,0
48,,,0,3
49,,,0,3
50,,,0,5
51,,,0,2
52,,,0,2
53,,,0,4
54,,,0,3
55,,,0,2
56,,,0,4
57,,,0,3
58,,,0,1
59,,,0,5
60,,,0,3
61,,,0,0
62,,,0,4
63,,,0,3
64,,,0,5
65,,,0,5
66,,,0,3
67,,,0,3
68,,,0,0
69,,,0,1
70,,,0,2
71,,,0,4
72,,,0,3
73,,,0,1
74,,,0,5
75,,,0,5
76,,,0,1
77,,,0,5
78,,,0,0
79,,,0,1
80,,,0,5
81,,,0,5
82,,,0,1
83,,,0,1
84,,,0,5
85,,,0,3
86,,,0,3
87,,,0,0
88,,,1,6
89,,,0,1
90,,,0,5
91,,,0,1
92,,,0,5
93,,,0,4
94,,,0,2
95,,,0,4
96,,,0,4
97,,,0,2
98,,,0,4
99,,,0,5
100,,,0,2
101,,,0,2
102,,,0,4
103,,,0,1
104,,,0,3
105,,,0,5
106,,,0,1
107,,,0,5
108,,,0,3
109,,,0,3
110,,,0,3
111,,,0,0
112,,,0,2
113,,,0,4
114,,,0,0
115,,,0,3
116,,,0,0
117,,,0,4
118,,,0,2
119,,,0,2
120,,,0,0
121,,,0,2
122,,,0,1
123,,,0,2
124,,,0,4
125,,,0,2
126,,,0,1
127,,,0,3
128,,,0,1
129,,,0,5
130,,,0,5
131,,,0,2
132,,,0,4
133,,,0,4
134,,,0,1
135,,,0,5
136,,,0,0
137,,,0,2
138,,,0,4
139,,,0,4
140,,,0,2
141,,,0,0
142,,,0,1
143,,,0,0
144,,,0,4
145,,,0,0
146,,,0,1
147,,,0,5
148,,,0,2
149,,,0,2
150,,,0,4
151,,,1,6
152,,,0,2
153,,,0,0
154,,,0,0
155,,,0,1
156,,,0,5
157,,,0,5
158,,,1,6
159,,,0,3
160,,,0,3
161,,,0,0
162,,,0,2
163,,,0,0
164,,,0,3
165,,,0,1
166,,,0,0
167,,,0,4
168,,,0,1
169,,,0,3
170,,,0,3
171,,,0,3
172,,,0,0
173,,,0,0
174,,,0,4
175,,,0,0
176,,,0,2
177,,,0,4
178,,,0,4
179,,,0,4
180,,,0,1
181,,,0,1
182,,,0,5
183,,,0,3
184,,,0,0
185,,,0,1
186,,,0,5
187,,,0,1
188,,,0,0
189,,,0,3
190,,,0,1
191,,,0,3
192,,,0,5
193,,,0,1
194,,,0,1
195,,,0,5
196,,,0,0
197,,,0,1
198,,,0,5
199,,,0,0
200,,,0,0
201,,,0,0
202,,,0,1
203,,,0,1
204,,,0,5
205,,,0,3
206,,,0,3
207,,,0,1
208,,,1,6
209,,,0,1
210,,,0,5
211,,,0,0
212,,,0,1
213,,,0,1
214,,,0,3
215,,,0,3
216,,,0,2
217,,,0,4
218,,,0,3
219,,,0,3
220,,,0,3
221,,,0,3
222,,,0,3
223,,,0,2
224,,,0,4
225,,,0,2
226,,,0,4
227,,,0,3
228,,,0,3
229,,,0,1
230,,,0,3
231,,,0,5
232,,,0,2
233,,,0,2
234,,,0,4
235,,,0,2
236,,,0,2
237,,,0,4
238,,,0,1
239,,,0,1
240,,,0,5
241,,,0,0
242,,,0,1
243,,,0,1
244,,,0,5
245,,,0,1
246,,,0,5
247,,,0,0
248,,,0,0
249,,,0,2
250,,,0,1
251,,,0,5
252,,,0,3
253,,,0,1
254,,,0,5
255,,,0,4
256,,,0,0
257,,,0,0
258,,,0,3
259,,,0,0
260,,,0,0
261,,,0,3
262,,,1,6
263,,,0,2
264,,,0,4
265,,,0,1
266,,,0,5
267,,,0,3
268,,,1,6
269,,,0,1
270,,,0,5
271,,,0,5
272,,,0,0
273,,,0,0
274,,,0,0
275,,,0,1
276,,,0,5
277,,,0,5
278,,,0,2
279,,,0,0
280,,,0,4
281,,,0,1
282,,,0,1
283,,,0,5
284,,,0,2
285,,,0,4
286,,,0,5
287,,,0,0
288,,,0,2
289,,,0,4
290,,,0,3
291,,,0,3
292,,,0,3
293,,,0,3
294,,,0,3
295,,,0,2
296,,,0,4
297,,,0,3
298,,,1,6
299,,,0,2
300,,,0,4
301,,,0,0
302,,,0,2
303,,,0,4
304,,,0,1
305,,,0,2
306,,,0,4
307,,,0,0
308,,,0,3
309,,,0,4
310,,,0,0
311,,,0,3
312,,,0,1
313,,,0,1
314,,,0,3
315,,,0,3
316,,,0,2
317,,,0,4
318,,,0,3
319,,,0,3
320,,,0,2
321,,,0,4
322,,,0,2
323,,,0,4
324,,,0,3
325,,,0,1
326,,,0,5
327,,,0,4
328,,,0,3
329,,,0,5
330,,,0,1
331,,,0,5
332,,,0,0
333,,,0,1
334,,,0,1
335,,,0,5
336,,,0,0
337,,,0,1
338,,,0,5
339,,,0,5
340,,,0,0
341,,,0,4
342,,,0,0
343,,,0,3
344,,,0,3
345,,,0,1
346,,,0,5
347,,,0,3
348,,,0,5
349,,,0,1
350,,,0,5
351,,,0,2
352,,,0,4
353,,,0,2
354,,,0,4
355,,,0,2
356,,,0,4
357,,,0,2
358,,,0,4
359,,,0,3
360,,,0,3
361,,,0,1
362,,,0,5
363,,,0,5
364,,,0,1
365,,,0,1
366,,,0,5
367,,,0,1
368,,,0,5
369,,,0,0
370,,,0,2
371,,,0,4
372,,,0,3
373,,,0,2
374,,,0,2
375,,,0,2
376,,,0,4
377,,,0,5
378,,,0,5
379,,,0,2
380,,,0,4
381,,,0,1
382,,,1,6
383,,,0,2
384,,,0,5
385,,,0,0
386,,,0,1
387,,,0,5
388,,,1,6
389,,,0,0
390,,,0,1
391,,,0,5
392,,,0,0
393,,,0,0
394,,,0,0
395,,,0,1
396,,,0,5
397,,,0,3
398,,,0,0
399,,,0,3
400,,,0,3
401,,,0,0
402,,,0,2
403,,,0,4
404,,,0,3
405,,,0,3
406,,,0,3
407,,,0,3
408,,,0,2
409,,,0,4
410,,,0,3
411,,,0,2
412,,,1,6
413,,,0,4
414,,,0,3
415,,,0,1
416,,,0,5
417,,,0,5
418,,,0,0
419,,,0,3
420,,,0,5
421,,,0,5
422,,,0,5
423,,,0,3
424,,,0,3
425,,,0,1
426,,,0,3
427,,,0,0
428,,,0,3
429,,,0,5
430,,,0,2
431,,,0,4
432,,,0,1
433,,,0,5
434,,,0,0
435,,,0,0
436,,,0,1
437,,,0,5
438,,,0,5
439,,,0,1
440,,,0,5
441,,,0,1
442,,,0,5
443,,,0,5
444,,,0,0
-1,,,1,6
-2,,,1,6
-3,,,1,6
-4,,,1,6
-5,,,1,6
-6,,,1,6
-7,,,1,6
-8,,,1,6
-9,,,1,6
-11,,,1,6
-12,,,1,6
