padnumber,xposition,yposition
1,-2.75,+5.09
2,-1.96,+5.09
3,-1.17,+5.09
4,-0.38,+5.09
5,+0.41,+5.09
6,+1.20,+5.09
7,+1.99,+5.09
8,+2.78,+5.09
9,-3.14,+4.40
10,-2.35,+4.40
11,-1.56,+4.40
12,-0.77,+4.40
13,-0.77,+4.40
14,+0.02,+4.40
15,+0.02,+4.40
16,+0.80,+4.40
17,+1.59,+4.40
18,+2.38,+4.40
19,+3.17,+4.40
20,-3.54,+3.71
21,-2.75,+3.71
22,-1.96,+3.71
23,-1.17,+3.71
24,-0.38,+3.71
25,+0.41,+3.71
26,+1.20,+3.71
27,+1.99,+3.71
28,+2.78,+3.71
30,-3.93,+3.02
31,-3.14,+3.02
32,-2.35,+3.02
33,-1.56,+3.02
34,-0.77,+3.02
35,+0.01,+3.02
36,+0.01,+3.02
37,+0.80,+3.02
38,+1.59,+3.02
39,+2.38,+3.02
40,+3.17,+3.02
43,-4.33,+2.33
44,-3.54,+2.33
45,-2.75,+2.33
46,-1.96,+2.33
47,-1.17,+2.33
48,-0.38,+2.33
49,+0.41,+2.33
50,+1.20,+2.33
51,+1.99,+2.33
52,+2.78,+2.33
55,-4.72,+1.64
56,-3.93,+1.64
57,-3.15,+1.64
58,-2.35,+1.64
59,-1.56,+1.64
60,-0.78,+1.64
61,+0.01,+1.64
62,+0.01,+1.64
63,+0.80,+1.64
64,+1.59,+1.64
65,+1.59,+1.64
66,+2.38,+1.64
67,+3.17,+1.64
71,-5.12,+0.95
72,-4.33,+0.95
73,-3.54,+0.95
74,-2.75,+0.95
75,-1.96,+0.95
76,-1.17,+0.95
77,-0.38,+0.95
78,+0.41,+0.95
79,+1.20,+0.95
80,+1.99,+0.95
81,+2.78,+0.95
85,-5.51,+0.26
86,-4.72,+0.26
87,-3.94,+0.26
88,-3.15,+0.26
89,-2.35,+0.26
90,-2.35,+0.26
91,-1.57,+0.26
92,-0.78,+0.26
93,+0.01,+0.26
94,+0.01,+0.26
95,+0.80,+0.26
96,+1.59,+0.26
97,+2.38,+0.26
98,+3.17,+0.26
103,-5.91,-0.43
104,-5.12,-0.43
105,-4.33,-0.43
106,-3.54,-0.43
107,-2.75,-0.43
108,-1.96,-0.43
109,-1.17,-0.43
110,-0.38,-0.43
111,+0.41,-0.43
112,+1.20,-0.43
113,+1.99,-0.43
114,+2.78,-0.43
119,-5.51,-1.12
120,-4.72,-1.12
121,-3.94,-1.12
122,-3.15,-1.12
123,-2.35,-1.12
124,-1.57,-1.12
125,-0.78,-1.12
126,+0.01,-1.12
127,+0.01,-1.12
128,+0.80,-1.12
129,+1.59,-1.12
130,+2.38,-1.12
131,+3.17,-1.12
136,-5.12,-1.81
137,-4.33,-1.81
138,-3.54,-1.81
139,-2.75,-1.81
140,-1.96,-1.81
141,-1.17,-1.81
142,-0.38,-1.81
143,+0.41,-1.81
144,+1.20,-1.81
145,+1.99,-1.81
146,+2.78,-1.81
151,-4.72,-2.50
152,-3.93,-2.50
153,-3.15,-2.50
154,-2.35,-2.50
155,-1.57,-2.50
156,-0.78,-2.50
157,+0.01,-2.50
158,+0.01,-2.50
159,+0.80,-2.50
160,+0.80,-2.50
161,+1.59,-2.50
162,+2.38,-2.50
163,+3.17,-2.50
167,-4.33,-3.19
168,-3.54,-3.19
169,-3.54,-3.19
170,-2.75,-3.19
171,-1.96,-3.19
172,-1.17,-3.19
173,-0.38,-3.19
174,+0.41,-3.19
175,+1.20,-3.19
176,+1.99,-3.19
177,+2.78,-3.19
180,-3.93,-3.88
181,-3.14,-3.88
182,-2.35,-3.88
183,-1.56,-3.88
184,-0.77,-3.88
185,+0.01,-3.88
186,+0.01,-3.88
187,+0.80,-3.88
188,+1.59,-3.88
189,+2.38,-3.88
190,+3.17,-3.88
193,-3.54,-4.57
194,-2.75,-4.57
195,-1.96,-4.57
196,-1.17,-4.57
197,-0.38,-4.57
198,+0.41,-4.57
199,+1.20,-4.57
200,+1.99,-4.57
201,+2.78,-4.57
203,-3.14,-5.26
204,-2.35,-5.26
205,-1.56,-5.26
206,-0.77,-5.26
207,+0.02,-5.26
208,+0.02,-5.26
209,+0.80,-5.26
210,+1.59,-5.26
211,+2.38,-5.26
212,+3.17,-5.26
-1,-3.35,5.05
-2,3.38,5.05
-4,3.4,-5.82
-5,-3.4,-5.82
-6,-6.15,0.15
